ADD/CHG/DEL/WDR;Unique UN Assigned ID; ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC;Dictionary Entry Name (auto generated);Definition Mandatory;Working comments and instructions;Publication comments;Object Class Term Qualifier(s);Object Class Term;Property Term Qualifier(s);Property Term;Datatype Qualifier(s);Representation Term;Qualified Data Type UID;Associated Object Class Term Qualifier(s);Associated Object Class;Business Term(s);Usage Rule(s);Sequence Number;Occurrence Min;Occurrence Max;Context Categories Mandatory for BIE's;;;;;;;;;;;;;;;;;;;;;;;;Facets To restrict the set of values of Content Component or Supplementary Components;;;;;;;;;;;;;
ADD;UN00002791;BCC;Characteristic. Description. Text;A textual description of this characteristic.;;;;Characteristic;;Description;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002792;BCC;Characteristic. Value. Measure;A measure of a value for this characteristic.;;;;Characteristic;;Value;;Measure;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002793;BCC;Characteristic. Measurement Method. Code;A code specifying a measurement method for this characteristic.;;;;Characteristic;;Measurement Method;;Code;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001511;ACC;Chemical. Details;Any substance having a defined molecular composition.;;;;Chemical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001512;BCC;Chemical. Identification. Identifier;A unique identifier for this chemical.;;;;Chemical;;Identification;;Identifier;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001513;BCC;Chemical. Name. Text;A name, expressed as text, for this chemical.;;;;Chemical;;Name;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001514;BCC;Chemical. Weight. Measure;A measure of the weight of this chemical.;;;;Chemical;;Weight;;Measure;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001515;BCC;Chemical. Type. Code;A code specifying the type of chemical.;;;;Chemical;;Type;;Code;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001516;BCC;Chemical. Description. Text;A textual description of this chemical.;;;;Chemical;;Description;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002844;BCC;Chemical. Presence. Percent;A percent of the presence of this chemical.;;;;Chemical;;Presence;;Percent;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001517;ASCC;Chemical. Presence. Measurement;A measurement of the presence of this chemical.;;;;Chemical;;Presence;;;;;Measurement;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001518;ASCC;Chemical. Applicable. Regulation;A regulation applicable to this chemical.;;;;Chemical;;Applicable;;;;;Regulation;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001519;ASCC;Chemical. Applicable. Instructions;An instruction that is applicable for this chemical.;;;;Chemical;;Applicable;;;;;Instructions;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001520;ASCC;Chemical. Applicable. Hazardous Material;Hazardous material information that is applicable for this chemical.;;;;Chemical;;Applicable;;;;;Hazardous Material;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002680;ACC;Cheque. Details;A written order to a bank to pay the stated sum from the drawer's account.;;;;Cheque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002681;BCC;Cheque. Type. Code;The code specifying the type of cheque.;;;;Cheque;;Type;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002682;BCC;Cheque. Number. Text;The number, expressed as text, of this cheque.;;;;Cheque;;Number;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002683;BCC;Cheque. Delivery Method. Code;The code specifying the delivery method for this cheque.;;;;Cheque;;Delivery Method;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002684;BCC;Cheque. Delivery Method. Text;The delivery method, expressed as text, for this cheque.;;;;Cheque;;Delivery Method;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002685;BCC;Cheque. Instruction Priority. Code;The code specifying the instruction priority for this cheque, such as the urgency or order of importance for the processing of the cheque.;;;;Cheque;;Instruction Priority;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002686;BCC;Cheque. Maturity. Date Time;The date, time, date time, or other date time value when this cheque reaches maturity.;;;;Cheque;;Maturity;;Date Time;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002687;BCC;Cheque. Layout Description. Text;The textual description of the layout for this cheque, such as a description of the company logo and digitized signature printed on the cheque.;;;;Cheque;;Layout Description;;Text;;;;Forms Code;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002688;BCC;Cheque. Memo Field. Text;The memo field, expressed as text, on this cheque.;;;;Cheque;;Memo Field;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002689;BCC;Cheque. Clearing Region. Text;The clearing region, expressed as text, for this cheque.;;;;Cheque;;Clearing Region;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002690;BCC;Cheque. Print Location. Text;The print location, expressed as text, for this cheque.;;;;Cheque;;Print Location;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002691;ASCC;Cheque. Issuance Ordering. Party;The party that orders the issuance of this cheque.;;;;Cheque;;Issuance Ordering;;;;;Party;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002692;ASCC;Cheque. Deliver To. Party;The party to whom this cheque should be delivered.;;;;Cheque;;Deliver To;;;;;Party;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002244;ACC;Claim Free Record. Details;Information based upon claims history that is or may be used in a premium pricing mechanism, such as the number of years without claims.;;;;Claim Free Record;;;;;;;;No Claims Bonus (NCB), No Claims Discount (NCD).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002245;BCC;Claim Free Record. Premium Discount. Percent;The percent of premium discount for this claim free record.;;;;Claim Free Record;;Premium Discount;;Percent;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002246;BCC;Claim Free Record. Level. Code;The code specifying the level of this claim free record.;;;;Claim Free Record;;Level;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002247;BCC;Claim Free Record. Base Year. Date;The base year date for this claim free record.;;;;Claim Free Record;;Base Year;;Date;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002248;BCC;Claim Free Record. Scheme. Code;The code specifying the scheme for this claim free record.;;;;Claim Free Record;;Scheme;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002249;BCC;Claim Free Record. Proven. Indicator;The indication of whether or not this claim free record is proven.;;;;Claim Free Record;;Proven;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002250;BCC;Claim Free Record. Protected. Indicator;The indication of whether or not this claim free record is protected.;;;;Claim Free Record;;Protected;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002251;BCC;Claim Free Record. Continuous Years Protected. Numeric;The number of years of continuous protection for this claim free record.;;;;Claim Free Record;;Continuous Years Protected;;Numeric;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002252;BCC;Claim Free Record. Discount Type. Code;The code specifying the type of discount for this claim free record.;;;;Claim Free Record;;Discount Type;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002253;ACC;Claims Made Policy. Details;The coverage of claims first made (reported or filed) during the period that the policy is in force for any incidents that occur during that period or any previous period.;;;;Claims Made Policy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002254;BCC;Claims Made Policy. Unlimited Prior Acts Coverage. Indicator;The indication of whether or not unlimited prior acts coverage applies to this claims made policy.;;;;Claims Made Policy;;Unlimited Prior Acts Coverage;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002255;BCC;Claims Made Policy. Retroactive. Date Time;The retroactive date, time, date time, or other date time value for this claims made policy.;;;;Claims Made Policy;;Retroactive;;Date Time;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002256;BCC;Claims Made Policy. Proposed Retroactive. Date Time;The proposed retroactive date, time, date time, or other date time value for this claims made policy.;;;;Claims Made Policy;;Proposed Retroactive;;Date Time;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002257;BCC;Claims Made Policy. Continuous Coverage Start. Date Time;The start date, time, date time, or other date time value of continuous coverage for this claims made policy.;;;;Claims Made Policy;;Continuous Coverage Start;;Date Time;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002258;BCC;Claims Made Policy. Discovery. Percent;The percent of discovery for this claims made policy. Discovery is the percentage of the total premium amount that the insurance company will retain In the event of a cancellation.;;;;Claims Made Policy;;Discovery;;Percent;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002259;BCC;Claims Made Policy. Discovery. Amount;A monetary value of the discovery for this claims made policy. Discovery is the amount of premium that the insurance company will retain in the event of a cancellation.;;;;Claims Made Policy;;Discovery;;Amount;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002260;BCC;Claims Made Policy. Known Accidents Excluded. Indicator;The indication of whether or not known accidents are excluded from this claims made policy.;;;;Claims Made Policy;;Known Accidents Excluded;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002261;BCC;Claims Made Policy. Deemed Claims Year. Date;The year that claims are deemed to have been made for this claims made policy.;;;;Claims Made Policy;;Deemed Claims Year;;Date;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002262;ASCC;Claims Made Policy. Extended Reporting. Period;The extended period of time in which claims can be reported for this claims made policy.;;;;Claims Made Policy;;Extended Reporting;;;;;Period;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002750;ACC;Classification. Details;A systematic arrangement in classes or categories according to established criteria.;;;;Classification;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002751;BCC;Classification. System. Identifier;The unique identifier of the classification system.;;;;Classification;;System;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002752;BCC;Classification. System Name. Text;A name, expressed as text, of a classification system.;;;;Classification;;System Name;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002753;BCC;Classification. Class. Code;A code specifying a class for this classification.;;;;Classification;;Class;;Code;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002754;BCC;Classification. Class Name. Text;A class name, expressed as text, for this classification.;;;;Classification;;Class Name;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002263;ACC;Clause. Details;A distinct article or provision in a contract, treaty, will, or other formal or legal written document, which requires compliance.;;;;Clause;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002264;BCC;#NAME?;A unique identifier for this clause.;;;;Clause;;Identification;;Identifier;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002265;BCC;Clause. Version. Date Time;A date, time, date time, or other date time value of the version of the clause.;;;;Clause;;Version;;Date Time;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002266;BCC;Clause. Basic Terms Variation Type. Code;The code specifying the basic terms variation type of this clause, such as a restriction or an extension of use.;;;;Clause;;Basic Terms Variation Type;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002267;BCC;Clause. Content. Text;Content, expressed as text, of the clause.;;;;Clause;;Content;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002268;BCC;Clause. Breach Explanation. Text;The textual explanation of the breach of the clause.;;;;Clause;;Breach Explanation;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002269;BCC;Clause. Breach. Indicator;The indication of whether or not this clause has been breached.;;;;Clause;;Breach;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002270;BCC;Clause. Wording Non Standard. Indicator;The indication of whether or not the wording of this clause is non-standard.;;;;Clause;;Wording Non Standard;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002271;BCC;Clause. Parametric Standard Wording. Indicator;The indication of whether or not the standard wording of this clause is parametric.;;;;Clause;;Parametric Standard Wording;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002272;BCC;Clause. Met. Indicator;The indication of whether or not this clause has been met.;;;;Clause;;Met;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002273;ASCC;Clause. Specified. Parameter;A parameter specified within this clause.;;;;Clause;;Specified;;;;;Parameter;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000095;ACC;Communication. Details;The exchange of thoughts, messages, or information, as by speech, signals, writing, or behaviour between persons and/or organizations.;;;;Communication;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHG;UN00000097;BCC;Communication. URI. Identifier;The unique identifier of the Uniform Resource Identifier (URI) for this communication, such as a web or an email address.;;;;Communication;;URI;;Identifier;;;;Email address;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHG;UN00000233;BCC;Communication. Channel. Code;The code specifying the channel or manner in which a communication can be made, such as telephone or email.;;;;Communication;;Channel;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000107;BCC;Communication. Local Number. Text;The communication number, expressed as text and not including country access code or the area number code, for this communication.;;;;Communication;;Local Number;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHG;UN00000103;BCC;Communication. Complete Number. Text;The text string of characters that make up the complete number for this communication.;;;;Communication;;Complete Number;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000105;BCC;Communication. Country Number. Code;The country access code for this communication number such as 44, 1, 353 etc.;;;;Communication;;Country Number;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000104;BCC;Communication. Extension Number. Text;The extension number, expressed as text, assigned to this communication number to enable a caller to reach a specific party.;;;;Communication;;Extension Number;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000106;BCC;Communication. Area Number. Code;The code specifying the area number for this communication.;;;;Communication;;Area Number;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000111;BCC;Communication. Access. Text;Access information, expressed as text, for the mode of communication such as 9 or *70 for a telephone network.;;;;Communication;;Access;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000234;BCC;Communication. Use. Code;The code specifying the use of this communication such as for business purposes or private.;;;;Communication;;Use;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000235;BCC;Communication. HTML Preferred. Indicator;The indication of whether or not HTML format is preferred by the recipient for email communications.;;;;Communication;;HTML Preferred;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001599;BCC;Communication. Special Device Type. Text;A special device type, expressed as text, for this communication, such as a device for the hearing impaired.;;;;Communication;;Special Device Type;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000099;ASCC;Communication. Contact. Address;Contact address information for this communication.;;;;Communication;;Contact;;;;;Address;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000100;ASCC;Communication. Usage. Preference;The preference for the usage of this communication method.;;;;Communication;;Usage;;;;;Preference;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000512;ACC;Completed Work. Details;Completion of a mental or physical effort to a specific purpose.;;;;Completed Work;;;;;;;;Accomplished Works;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000264;BCC;Completed Work. Type. Code;A code specifying a type of completed work.;;;;Completed Work;;Type;;Code;;;;Work Item Classification Number;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000265;BCC;Completed Work. Average. Amount;A monetary value that constitutes the annual average amount of the completed work.;;;;Completed Work;;Average;;Amount;;;;Annual Accomplished Work Average;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000266;BCC;Completed Work. Year. Date;A date value specified as a year for the completed work.;;;;Completed Work;;Year;;Date;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000802;BCC;Completed Work. Organization Capacity. Amount;A monetary value that constitutes the capacity of the organization which carried out this completed work.;;;;Completed Work;;Organization Capacity;;Amount;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000910;BCC;Completed Work. Description. Text;A textual description of this completed work.;;;;Completed Work;;Description;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000892;ACC;Complex Description. Details;An aggregation of descriptive information consisting of different but related characteristics that together constitute a complex description.;;;;Complex Description;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000893;BCC;Complex Description. Abstract. Text;A textual abstract of the content of the complex description.;;;;Complex Description;;Abstract;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000894;BCC;Complex Description. Content. Text;Content, expressed as text, for this complex description.;;;;Complex Description;;Content;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000895;ASCC;Complex Description. Requesting. Query;A requesting query for this complex description.;;;;Complex Description;;Requesting;;;;;Query;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000896;ASCC;Complex Description. Responding. Response;A responding response for this complex description.;;;;Complex Description;;Responding;;;;;Response;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00000897;ASCC;Complex Description. Subset. Complex Description;A complex description subset for this complex description.;;;;Complex Description;;Subset;;;;;Complex Description;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002794;ACC;Condition. Details;A state of a person or thing.;;;;Condition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002795;BCC;Condition. Type. Code;A code specifying a type of condition.;;;;Condition;;Type;;Code;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002796;BCC;Condition. Value. Measure;A measure of a value for this condition.;;;;Condition;;Value;;Measure;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001720;ACC;Consignment Item. Details;An item within a consignment of goods separately identified for transport and customs purposes.;;;;Consignment Item;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001721;BCC;Consignment Item. Identification. Identifier;A unique identifier for this consignment item.;;;;Consignment Item;;Identification;;Identifier;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001722;BCC;Consignment Item. Sequence. Numeric;The sequence number for this consignment item.;;;;Consignment Item;;Sequence;;Numeric;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001723;BCC;Consignment Item. Type. Code;The code specifying the type of consignment item.;;;;Consignment Item;;Type;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001724;BCC;Consignment Item. Type Extension. Code;The code used as an extension to the type code for further specifying the type of consignment item.;;;;Consignment Item;;Type Extension;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001725;BCC;Consignment Item. Declared Value For Customs. Amount;The monetary value of this consignment item as declared for customs purposes.;;;;Consignment Item;;Declared Value For Customs;;Amount;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001726;BCC;Consignment Item. Declared Value For Carriage. Amount;The monetary value of this consignment item as declared by the shipper or his agent for the purpose of varying the carrier's level of liability from that provided in the contract of carriage, in case of loss or damage to goods or delayed delivery.;;;;Consignment Item;;Declared Value For Carriage;;Amount;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001727;BCC;Consignment Item. Declared Value For Statistics. Amount;The monetary value of this consignment item as declared for statistical purposes.;;;;Consignment Item;;Declared Value For Statistics;;Amount;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001728;BCC;Consignment Item. FOB. Amount;The monetary value for this consignment item as calculated under FOB (Free On Board) delivery terms.;;;;Consignment Item;;FOB;;Amount;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001729;BCC;Consignment Item. Insurance Value. Amount;The monetary value of this consignment item as covered by an insurance policy.;;;;Consignment Item;;Insurance Value;;Amount;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001730;BCC;Consignment Item. Gross Weight. Measure;A measure of the gross weight (mass) of this consignment item which includes packaging but excludes any transport equipment.;;;;Consignment Item;;Gross Weight;;Measure;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001731;BCC;Consignment Item. Net Weight. Measure;A measure of the net weight of this consignment item which excludes all packaging.;;;;Consignment Item;;Net Weight;;Measure;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001732;BCC;Consignment Item. Chargeable Weight. Measure;A measure of the consignment item weight on which charges are to be based.;;;;Consignment Item;;Chargeable Weight;;Measure;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001733;BCC;Consignment Item. Gross Volume. Measure;A measure of the gross volume, normally calculated by multiplying the maximum length, width and height of this consignment item.;;;;Consignment Item;;Gross Volume;;Measure;;;;Gross Volume, GMC, Cube;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001734;BCC;Consignment Item. Special Instructions. Text;Special instructions, expressed as text, for this consignment item.;;;;Consignment Item;;Special Instructions;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001735;BCC;Consignment Item. Delivery Instructions. Text;Delivery instructions, expressed as text, for this consignment item.;;;;Consignment Item;;Delivery Instructions;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001736;BCC;Consignment Item. Damage Remarks. Text;Damage remarks, expressed as text, for this consignment item.;;;;Consignment Item;;Damage Remarks;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001737;BCC;Consignment Item. Information. Text;Information, expressed as text, for this consignment item.;;;;Consignment Item;;Information;;Text;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001738;ASCC;Consignment Item. Nature Identification. Cargo;Cargo details of this consignment item sufficient to identify its nature for customs, statistical or transport purposes.;;;;Consignment Item;;Nature Identification;;;;;Cargo;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001739;ASCC;Consignment Item. Applicable. Dangerous Goods;Dangerous goods details applicable to this consignment item.;;;;Consignment Item;;Applicable;;;;;Dangerous Goods;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001740;ASCC;Consignment Item. Handling. Instructions;Handling instructions for this consignment item.;;;;Consignment Item;;Handling;;;;;Instructions;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001741;ASCC;Consignment Item. Quarantine. Instructions;Quarantine instructions for this consignment item.;;;;Consignment Item;;Quarantine;;;;;Instructions;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001742;ASCC;Consignment Item. Delivery. Event;A delivery event for this consignment item.;;;;Consignment Item;;Delivery;;;;;Event;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00001743;ASCC;Consignment Item. Transport. Temperature;A transport temperature for this consignment item.;;;;Consignment Item;;Transport;;;;;Temperature;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
